115100,"Costume Quest: Grubbins on Ice",2,2,2,0.43
115100,"Costume Quest Prototype",,,1,0.57
810500,"PowerbeatsVR",2,,,1
305050,"Outland",7,10,13,1
305050,"Genshin Impact - Prologue: The Outlander Who Caught the Wind",19,28,38,0.12
305050,"Outlander",,,,0.78
305050,"Outlanders",40,65,72,0.7
305050,"Hearthstone: Ashes of Outland",,,,0.24
305050,"The Legend of Zelda: Outlands",,11,,0.24
98200,"Frozen Synapse",24,33,,1
98200,"Frozen Synapse Prime",18,18,34,0.7
98200,"Frozen Synapse 2",37,,,0.88
238010,"Deus Ex: Human Revolution - Director's Cut",23,31,46,1
41700,"S.T.A.L.K.E.R.: Call of Pripyat",15,25,32,1
30,"Day of Defeat",6,25,84,1
30,"Day of Defeat: Source",2,10,,0.62
37800,"QuantZ",,,,1
231430,"Company of Heroes 2",15,24,58,1
231430,"Company of Heroes 2: Ardennes Assault",11,13,16,0.51
231430,"Company of Heroes 2: Case Blue",4,,,0.63
231430,"Company of Heroes 2: Victory at Stalingrad",5,,,0.45
231430,"Company of Heroes 2: Southern Fronts",6,,,0.53
17710,"Nuclear Dawn",,,28,1
17710,"Covert Ops: Nuclear Dawn",10,,,0.5
6880,"Just Cause",8,19,31,1
6880,"Just Cause 3",18,37,62,0.83
6880,"Just Cause 2",18,34,86,0.83
6880,"Just Cause 4",16,27,54,0.83
6880,"Just Cause 3: Multiplayer Mod",,,,0.34
6880,"Just Cause 4: Dare Devils of Destruction DLC",2,,4,0.23
6880,"Just Cause 4: Los Demonios DLC",2,,2,0.33
6880,"Just Cause 4: Danger Rising DLC",3,,3,0.32
6880,"Just Cause 2: Multiplayer Mod",17,55,75,0.34
6880,"Just Cause 3: Sky Fortress DLC",2,2,4,0.33
6880,"Just Cause 3: Mech Land Assault DLC",2,3,5,0.29
6880,"Just Cause 3: Bavarium Sea Heist DLC",2,2,5,0.28
13500,"Prince of Persia: Warrior Within",12,15,17,1
262280,"Dungeons 2",15,20,26,1
262280,"Grotesque Tactics 2: Dungeons and Donuts",12,14,16,0.23
262280,"The Escapists 2: Dungeons And Duct Tape",,,,0.23
262280,"Empires & Dungeons 2: The Sultanate",2,,,0.29
108710,"Alan Wake",11,14,26,1
108710,"Alan Wake II",18,24,29,0.75
108710,"Alan Wake Remastered",10,14,25,0.45
108710,"Alan Wake's American Nightmare",4,5,8,0.3
108710,"Alan Wake: The Writer",1,2,2,0.43
108710,"Alan Wake: The Signal",1,2,2,0.43
976730,"Halo: The Master Chief Collection",43,69,249,1
2330,"Quake II: The Reckoning",5,6,9,1
6220,"FlatOut",7,10,10,1
6220,"FlatOut 2",12,16,21,0.78
6220,"FlatOut: Ultimate Carnage",15,23,28,0.28
6220,"FlatOut 3: Chaos & Destruction",5,7,17,0.23
6220,"FlatOut 4: Total Insanity",10,16,28,0.28
287700,"Metal Gear Solid V: The Phantom Pain",46,81,161,1
234650,"Shadowrun Returns",12,14,18,1
8220,"Sam & Max 103: The Mole, the Mob, and the Meatball",2,2,2,0.98
442070,"Drawful 2",2,7,9,1
2350,"Quake III: Team Arena",5,9,9,1
400940,"Budget Cuts",5,6,8,1
400940,"Budget Cuts 2: Mission Insolvency",4,7,,0.33
400940,"Budget Cuts Ultimate",6,,,0.55
233130,"Shadow Warrior",12,15,36,1
233130,"Shadow Warrior",10,12,14,1
233130,"Viscera Cleanup Detail: Shadow Warrior",2,2,2,0.37
233130,"Shadow Warrior 2",8,16,24,0.88
233130,"Shadow Warrior Classic Redux",9,14,15,0.5
233130,"Shadow Warrior 3",6,7,9,0.88
233130,"Ninja Gaiden",3,3,4,0.14
233130,"Ninja Gaiden II: The Dark Sword of Chaos",3,3,3,0.18
233130,"Chaotic: Shadow Warriors",8,8,,0.58
233130,"Ninja Gaiden Shadow",1,1,2,0.16
233130,"Fire Emblem Warriors - Fire Emblem: Shadow Dragon DLC Pack",,13,,0.14
233130,"Shadow Warrior: Twin Dragon",3,4,5,0.52
233130,"Shadow Warrior: Wanton Destruction",3,4,5,0.41
8250,"Sam & Max 106: Bright Side of the Moon",2,2,2,1
4530,"Full Spectrum Warrior: Ten Hammers",15,,,1
741820,"Prey: Typhon Hunter",1,,10,1
41070,"Serious Sam 3: BFE",10,14,27,1
365450,"Hacknet",7,9,11,1
365450,"Hacknet - Labyrinths",3,5,9,0.35
1148590,"Doom 64",7,9,10,1
